HDG;PITCH;ROLL;ALT;EW_POS;NS_POS
-83.15 ; 11.72 ; 7.14 ; 1264.1038818359375 ; 3674.888671875 ; 3890.2421875
-83.05 ; 11.66 ; 7.23 ; 1264.7242431640625 ; 3680.1904296875 ; 3889.720703125
-82.96 ; 11.59 ; 7.31 ; 1265.3343505859375 ; 3685.5791015625 ; 3889.1123046875
-82.86 ; 11.52 ; 7.4 ; 1265.93115234375 ; 3690.9677734375 ; 3888.4169921875
-82.75 ; 11.45 ; 7.5 ; 1266.5179443359375 ; 3696.357421875 ; 3887.80859375
-82.66 ; 11.38 ; 7.57 ; 1267.0936279296875 ; 3701.74609375 ; 3887.2001953125
-82.57 ; 11.3 ; 7.67 ; 1267.6593017578125 ; 3707.134765625 ; 3886.5048828125
-82.47 ; 11.23 ; 7.75 ; 1268.21240234375 ; 3712.4365234375 ; 3885.896484375
-82.36 ; 11.17 ; 7.82 ; 1268.75537109375 ; 3717.826171875 ; 3885.201171875
-82.25 ; 11.13 ; 7.92 ; 1269.287353515625 ; 3723.21484375 ; 3884.505859375
-82.16 ; 11.11 ; 8.0 ; 1269.8092041015625 ; 3728.5166015625 ; 3883.810546875
-82.04 ; 11.12 ; 8.07 ; 1270.3201904296875 ; 3733.9052734375 ; 3883.115234375
-81.93 ; 11.13 ; 8.15 ; 1270.8209228515625 ; 3739.2080078125 ; 3882.5068359375
-81.82 ; 11.16 ; 8.23 ; 1271.3138427734375 ; 3744.509765625 ; 3881.724609375
-81.69 ; 11.18 ; 8.31 ; 1271.7982177734375 ; 3749.8984375 ; 3881.029296875
-81.58 ; 11.21 ; 8.39 ; 1272.2740478515625 ; 3755.287109375 ; 3880.2470703125
-81.47 ; 11.21 ; 8.46 ; 1272.7427978515625 ; 3760.58984375 ; 3879.5517578125
-81.36 ; 11.16 ; 8.53 ; 1273.2044677734375 ; 3765.8916015625 ; 3878.76953125
-81.25 ; 11.11 ; 8.6 ; 1273.6607666015625 ; 3771.193359375 ; 3877.9873046875
-81.15 ; 11.02 ; 8.67 ; 1274.1083984375 ; 3776.58203125 ; 3877.205078125
-81.05 ; 10.91 ; 8.73 ; 1274.5482177734375 ; 3781.8837890625 ; 3876.4228515625
-80.96 ; 10.8 ; 8.79 ; 1274.980224609375 ; 3787.1865234375 ; 3875.640625
-80.85 ; 10.67 ; 8.84 ; 1275.4044189453125 ; 3792.48828125 ; 3874.771484375
-80.75 ; 10.56 ; 8.9 ; 1275.816162109375 ; 3797.7900390625 ; 3873.9892578125
-80.66 ; 10.45 ; 8.95 ; 1276.21923828125 ; 3803.0048828125 ; 3873.20703125
-80.55 ; 10.35 ; 9.01 ; 1276.6114501953125 ; 3808.39453125 ; 3872.337890625
-80.44 ; 10.26 ; 9.06 ; 1276.993408203125 ; 3813.6962890625 ; 3871.5556640625
-80.35 ; 10.18 ; 9.1 ; 1277.3629150390625 ; 3818.998046875 ; 3870.685546875
-80.24 ; 10.1 ; 9.14 ; 1277.7222900390625 ; 3824.2998046875 ; 3869.81640625
-80.13 ; 10.03 ; 9.15 ; 1278.07080078125 ; 3829.515625 ; 3868.947265625
-80.0 ; 9.97 ; 9.14 ; 1278.4090576171875 ; 3834.8173828125 ; 3867.9912109375
